GDACS_ID,country,iso3,continent,country_lonlat,iso3_lonlat,continent_lonlat,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry,validation_errors
FL-1102897,Bangladesh,BGD,Asia,,,,1102897,Green,1,2024-09-12T01:00:00,2024-09-14T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102897&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102897&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102897,"{'type': 'Point', 'coordinates': [92.0035050341256, 21.1766471]}",['country_mismatch']
FL-1102883,Croatia,HRV,Europe,,,,1102883,Green,1,2024-09-09T01:00:00,2024-09-11T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102883&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102883&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102883,"{'type': 'Point', 'coordinates': [17.1690038, 42.9225646]}",['country_mismatch']
FL-1102982,Republic of Congo,COG,Africa,Democratic Republic of the Congo,COD,Africa,1102982,Green,1,2024-10-24T01:00:00,2024-12-05T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102982&episodeid=8,https://www.gdacs.org/report.aspx?eventid=1102982&episodeid=8&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102982,"{'type': 'Point', 'coordinates': [17.3774958, -3.3201862]}",['country_mismatch']
FL-1102979,Uruguay,URY,South America,Paraguay,PRY,South America,1102979,Green,1,2024-10-23T01:00:00,2024-10-25T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102979&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102979&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102979,"{'type': 'Point', 'coordinates': [-57.5080661, -25.2450969]}",['country_mismatch']
FL-1102969,United States,USA,North America,United States of America,US1,North America,1102969,Green,1,2024-10-19T01:00:00,2024-10-24T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102969&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102969&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102969,"{'type': 'Point', 'coordinates': [-162.5977621, 66.8982057]}",['country_mismatch']
FL-1102980,Islamic Republic of Iran,IRN,Asia,Iran,IRN,Asia,1102980,Green,1,2024-10-21T01:00:00,2024-10-23T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102980&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102980&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102980,"{'type': 'Point', 'coordinates': [58.1065069, 33.129577]}",['country_mismatch']
FL-1102952,Philippines,PHL,Asia,,,,1102952,Green,1,2024-10-12T01:00:00,2024-10-23T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102952&episodeid=4,https://www.gdacs.org/report.aspx?eventid=1102952&episodeid=4&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102952,"{'type': 'Point', 'coordinates': [122.7312101, 12.7503486]}",['country_mismatch']
FL-1102968,Democratic Republic of Congo,COD,Africa,Democratic Republic of the Congo,COD,Africa,1102968,Green,1,2024-10-19T01:00:00,2024-10-21T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102968&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102968&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102968,"{'type': 'Point', 'coordinates': [15.316754, -4.3542053]}",['country_mismatch']
FL-1102963,Republic of Congo,COG,Africa,Democratic Republic of the Congo,COD,Africa,1102963,Green,1,2024-10-09T01:00:00,2024-10-20T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102963&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102963&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102963,"{'type': 'Point', 'coordinates': [18.7153480896103, 4.1761197]}",['country_mismatch']
FL-1102949,United States,USA,North America,United States of America,US1,North America,1102949,Green,1,2024-10-09T01:00:00,2024-10-11T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102949&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102949&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102949,"{'type': 'Point', 'coordinates': [-81.4639835, 27.7567667]}",['country_mismatch']
