GDACS_ID,country,iso3,continent,country_lonlat,iso3_lonlat,continent_lonlat,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry,Continent,Country,ISO3,reason,source,reviewed_by,reviewed_at
FL-1101509,India,IND,Asia,India,IND,Asia,1101509,Green,1,2022-06-30T01:00:00,2022-07-16T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101509&episodeid=10,https://www.gdacs.org/report.aspx?eventid=1101509&episodeid=10&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101509,"{'type': 'Point', 'coordinates': [80.8940083, 17.6688019]}",,,,,,,
FL-1101617,Liberia,LBR,Africa,Liberia,LBR,Africa,1101617,Green,1,2022-06-17T01:00:00,2022-07-15T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101617&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101617&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101617,"{'type': 'Point', 'coordinates': [-10.6059403, 6.4095537]}",,,,,,,
FL-1101525,East Timor,,Asia,East Timor,TLS,,1101525,Green,1,2022-06-28T01:00:00,2022-07-08T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101525&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101525&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101525,"{'type': 'Point', 'coordinates': [125.8375756, -8.5151979]}",,,,,,,
FL-1101529,Thailand,THA,Asia,,,Asia,1101529,Green,1,2022-06-28T01:00:00,2022-07-06T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101529&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101529&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101529,"{'type': 'Point', 'coordinates': [98.3895007, 7.8836697]}",Asia,Thailand,THA,typo,WIKI,M.H,TUWIEN
FL-1101528,Pakistan,PAK,Asia,Pakistan,PAK,Asia,1101528,Green,1,2022-07-01T01:00:00,2022-07-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101528&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101528&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101528,"{'type': 'Point', 'coordinates': [73.8535369, 36.1485981]}",,,,,,,
FL-1101515,North Korea,PRK,Asia,South Korea,KOR,Asia,1101515,Green,1,2022-06-28T01:00:00,2022-07-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101515&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101515&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101515,"{'type': 'Point', 'coordinates': [127.6961188, 36.638392]}",Asia,North Korea,PRK,typo,WIKI,M.H,TUWIEN
FL-1101511,Brazil,BRA,South America,Brazil,BRA,South America,1101511,Green,1,2022-07-01T01:00:00,2022-07-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101511&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101511&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101511,"{'type': 'Point', 'coordinates': [-36.197935, -8.876519]}",,,,,,,
FL-1101510,Australia,AUS,Oceania,Australia,AU1,Oceania,1101510,Green,1,2022-07-01T01:00:00,2022-07-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101510&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101510&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101510,"{'type': 'Point', 'coordinates': [147.2869493, -31.8759835]}",,,,,,,
FL-1101508,China,CHN,Asia,China,CH1,Asia,1101508,Green,1,2022-07-01T01:00:00,2022-07-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101508&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101508&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101508,"{'type': 'Point', 'coordinates': [109.5999999, 19.2000001]}",,,,,,,
FL-1101507,Costa Rica,CRI,North America,Nicaragua,NIC,North America,1101507,Green,1,2022-07-01T01:00:00,2022-07-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101507&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101507&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101507,"{'type': 'Point', 'coordinates': [-85.2936911, 12.6090157]}",North America,Costa Rica,CRI,typo,WIKI,M.H,TUWIEN
FL-1101488,Cameroon,CMR,Africa,Cameroon,CMR,Africa,1101488,Green,1,2022-06-26T01:00:00,2022-07-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101488&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101488&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101488,"{'type': 'Point', 'coordinates': [11.5213344, 3.8689867]}",,,,,,,
FL-1101512,United Kingdom,GBR,Europe,United Kingdom,GB1,Europe,1101512,Green,1,2022-06-30T01:00:00,2022-07-01T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101512&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101512&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101512,"{'type': 'Point', 'coordinates': [-2.4514273, 52.6780419]}",,,,,,,
FL-1101505,Germany,DEU,Europe,Austria,AUT,Europe,1101505,Green,1,2022-06-30T01:00:00,2022-07-01T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101505&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101505&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101505,"{'type': 'Point', 'coordinates': [11.0962815, 47.4923741]}",Europe,Germany,DEU,typo,WIKI,M.H,TUWIEN
FL-1101486,Türkiye,TUR,Asia,Turkey,TUR,Asia,1101486,Green,1,2022-06-26T01:00:00,2022-07-01T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101486&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101486&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101486,"{'type': 'Point', 'coordinates': [32.8670147, 39.9776661]}",Asia,Türkiye,TUR,typo,WIKI,M.H,TUWIEN
FL-1101503,France,FRA,Europe,,,Europe,1101503,Green,1,2022-06-22T01:00:00,2022-06-30T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101503&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101503&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101503,"{'type': 'Point', 'coordinates': [55.3358287542502, -21.2698105]}",Europe,France,FRA,typo,WIKI,M.H,TUWIEN
FL-1101493,Mexico,MEX,North America,Mexico,MEX,North America,1101493,Green,1,2022-06-26T01:00:00,2022-06-30T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101493&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101493&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101493,"{'type': 'Point', 'coordinates': [-103.338396, 20.6720375]}",,,,,,,
FL-1101491,Costa Rica,CRI,North America,Costa Rica,CRI,North America,1101491,Green,1,2022-06-28T01:00:00,2022-06-29T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101491&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101491&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101491,"{'type': 'Point', 'coordinates': [-84.4672550415899, 10.460632]}",,,,,,,
FL-1101482,Austria,AUT,Europe,Austria,AUT,Europe,1101482,Green,1,2022-06-28T01:00:00,2022-06-29T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101482&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101482&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101482,"{'type': 'Point', 'coordinates': [13.6790052866387, 46.6367128]}",,,,,,,
FL-1101544,Niger,NER,Africa,Niger,NER,Africa,1101544,Green,1,2022-06-26T01:00:00,2022-06-28T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101544&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101544&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101544,"{'type': 'Point', 'coordinates': [9.3238432, 17.7356214]}",,,,,,,
FL-1101489,Colombia,COL,South America,Colombia,COL,South America,1101489,Green,1,2022-06-26T01:00:00,2022-06-28T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101489&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101489&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101489,"{'type': 'Point', 'coordinates': [-74.2695268, 10.612076]}",,,,,,,
FL-1101501,Serbia,SRB,Europe,Republic of Serbia,SRB,Europe,1101501,Green,1,2022-06-25T01:00:00,2022-06-27T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101501&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101501&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101501,"{'type': 'Point', 'coordinates': [21.5884422, 43.2343484]}",Europe,Serbia,SRB,typo,WIKI,M.H,TUWIEN
FL-1101502,Czechia,,Europe,Czechia,CZE,Europe,1101502,Green,1,2022-06-24T01:00:00,2022-06-26T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101502&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101502&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101502,"{'type': 'Point', 'coordinates': [15.4749544, 49.8167003]}",,,,,,,
FL-1101500,Malaysia,MYS,Asia,Malaysia,MYS,Asia,1101500,Green,1,2022-06-24T01:00:00,2022-06-26T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101500&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101500&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101500,"{'type': 'Point', 'coordinates': [101.304146, 3.2083304]}",,,,,,,
FL-1101498,Nigeria,NGA,Africa,Nigeria,NGA,Africa,1101498,Green,1,2022-06-24T01:00:00,2022-06-26T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101498&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101498&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101498,"{'type': 'Point', 'coordinates': [7.4892974, 9.0643305]}",,,,,,,
FL-1101483,Russia,RUS,Europe,Russia,RUS,Europe,1101483,Green,1,2022-06-24T01:00:00,2022-06-26T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101483&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101483&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101483,"{'type': 'Point', 'coordinates': [39.0261044, 45.7684014]}",,,,,,,
