,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry
2052,FL-1101865,SA020M,Bolivia,BOL,1101865,Green,1,2023-01-01T01:00:00,2023-01-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101865&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101865&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101865,"{'type': 'Point', 'coordinates': [-64.4736552, -19.485286]}"
2053,FL-1101803,EU020M,Portugal,PRT,1101803,Green,1,2023-01-01T01:00:00,2023-01-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101803&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101803&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101803,"{'type': 'Point', 'coordinates': [-8.7913359, 41.907897]}"
2054,FL-1101799,EU020M,France,FRA,1101799,Green,1,2022-12-30T01:00:00,2023-01-02T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101799&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101799&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101799,"{'type': 'Point', 'coordinates': [-3.5505644, 47.8692882]}"
2055,FL-1101806,AS020M,Japan,JPN,1101806,Green,1,2022-12-31T01:00:00,2022-12-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101806&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101806&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101806,"{'type': 'Point', 'coordinates': [139.8266292, 38.7272187]}"
2056,FL-1101797,AF020M,Democratic Republic of the Congo,,1101797,Green,1,2022-12-30T01:00:00,2022-12-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101797&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101797&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101797,"{'type': 'Point', 'coordinates': [28.9428932, -4.3003444]}"
2057,FL-1101794,AF020M,Israel,ISR,1101794,Green,1,2022-12-26T01:00:00,2022-12-28T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101794&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101794&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101794,"{'type': 'Point', 'coordinates': [36.941628, 31.1667049]}"
2058,FL-1101795,AF020M,Israel,ISR,1101795,Green,1,2022-12-25T01:00:00,2022-12-27T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101795&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101795&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101795,"{'type': 'Point', 'coordinates': [34.7925181, 31.2457442]}"
2059,FL-1101798,AF020M,Uganda,UGA,1101798,Green,1,2022-12-20T01:00:00,2022-12-22T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101798&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101798&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101798,"{'type': 'Point', 'coordinates': [32.6270774, 0.2815436]}"
2060,FL-1101793,EU020M,United Kingdom,GBR,1101793,Green,1,2022-12-18T01:00:00,2022-12-21T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101793&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101793&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101793,"{'type': 'Point', 'coordinates': [0.4218142, 51.6284395]}"
2061,FL-1101791,EU020M,Albania,ALB,1101791,Green,1,2022-12-16T01:00:00,2022-12-20T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101791&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101791&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101791,"{'type': 'Point', 'coordinates': [18.6822925735438, 43.31184015]}"
2062,FL-1101790,AS020M,Malaysia,MYS,1101790,Green,1,2022-12-15T01:00:00,2022-12-20T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101790&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101790&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101790,"{'type': 'Point', 'coordinates': [102.5, 5.5833333]}"
2063,FL-1101772,EU020M,Spain,ESP,1101772,Green,1,2022-12-05T01:00:00,2022-12-20T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101772&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1101772&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101772,"{'type': 'Point', 'coordinates': [-8.4672887, 42.2281639]}"
2064,FL-1101781,AS020M,Thailand,THA,1101781,Green,1,2022-12-03T01:00:00,2022-12-19T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101781&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1101781&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101781,"{'type': 'Point', 'coordinates': [101.1409694, 6.3344846]}"
2065,FL-1101789,AF020M,Namibia,NAM,1101789,Green,1,2022-12-14T01:00:00,2022-12-16T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101789&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101789&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101789,"{'type': 'Point', 'coordinates': [17.0772739, -22.5776104]}"
2066,FL-1101770,AF020M,South Africa,ZAF,1101770,Green,1,2022-12-03T01:00:00,2022-12-16T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101770&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1101770&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101770,"{'type': 'Point', 'coordinates': [19.670833, -33.479444]}"
2067,FL-1101787,AF020M,Democratic Republic of the Congo,,1101787,Orange,2,2022-12-13T01:00:00,2022-12-15T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101787&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101787&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101787,"{'type': 'Point', 'coordinates': [13.4948202980748, -5.79740005]}"
2068,FL-1101786,EU020M,Portugal,PRT,1101786,Green,1,2022-12-12T01:00:00,2022-12-14T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101786&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101786&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101786,"{'type': 'Point', 'coordinates': [-9.1679111662843, 38.73182715]}"
2069,FL-1101780,EU020M,Türkiye,TUR,1101780,Green,1,2022-12-11T01:00:00,2022-12-14T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101780&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101780&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101780,"{'type': 'Point', 'coordinates': [27.0448169, 38.3929338]}"
2070,FL-1101785,EU020M,Greece,GRC,1101785,Green,1,2022-12-10T01:00:00,2022-12-13T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101785&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101785&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101785,"{'type': 'Point', 'coordinates': [20.9858503, 39.161555]}"
2071,FL-1101779,AF020M,Saudi Arabia,SAU,1101779,Green,1,2022-12-11T01:00:00,2022-12-13T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101779&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101779&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101779,"{'type': 'Point', 'coordinates': [46.1225, 25.126667]}"
